network,s_init,s_temporal,policy,shuffle,R2,penaltyIndex1,penaltyIndex2,penaltyIndex3,fullPenaltyIndex
1,0.050000000000000003,0.10000000000000001,1,1,-0.0082500273246686184,22,25,25,25
1,0.050000000000000003,0.10000000000000001,1,2,-0.014172033315629884,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,3,-0.024373189718916999,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,4,-0.0053625783352524437,25,22,21,22
1,0.050000000000000003,0.10000000000000001,1,5,-0.010675702993627079,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,6,-0.0035921105662863884,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,7,-0.007340887044577693,25,25,23,25
1,0.050000000000000003,0.10000000000000001,1,8,-0.024171417511011706,20,25,25,25
1,0.050000000000000003,0.10000000000000001,1,9,-0.012994934553625326,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,10,-0.0082548266048572128,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,11,-0.013865243176904185,23,25,25,25
1,0.050000000000000003,0.10000000000000001,1,12,-0.016545746762861357,23,22,25,23
1,0.050000000000000003,0.10000000000000001,1,13,-0.028370003638486851,22,22,25,25
1,0.050000000000000003,0.10000000000000001,1,14,-0.0037469117568402766,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,15,-0.006776022570705198,20,25,25,25
1,0.050000000000000003,0.10000000000000001,1,16,-0.019870745211301832,25,21,25,25
1,0.050000000000000003,0.10000000000000001,1,17,-0.0076572775005676608,22,20,22,21
1,0.050000000000000003,0.10000000000000001,1,18,-0.018676138251626284,25,22,22,22
1,0.050000000000000003,0.10000000000000001,1,19,-0.011212757849381028,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,20,-0.012058476674403851,25,24,25,25
1,0.050000000000000003,0.10000000000000001,1,21,-0.0048389589657233945,25,25,21,25
1,0.050000000000000003,0.10000000000000001,1,22,-0.0063644692016135984,22,25,21,22
1,0.050000000000000003,0.10000000000000001,1,23,-0.0054833579484656614,23,21,20,21
1,0.050000000000000003,0.10000000000000001,1,24,-0.0083696831080894984,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,25,-0.021856484075164051,21,20,25,21
1,0.050000000000000003,0.10000000000000001,1,26,-0.0074317707164190949,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,27,-0.00079054995751293156,20,20,21,20
1,0.050000000000000003,0.10000000000000001,1,28,-0.008893564273119603,21,25,25,25
1,0.050000000000000003,0.10000000000000001,1,29,-0.0066149449054990761,20,20,20,20
1,0.050000000000000003,0.10000000000000001,1,30,-0.0024934640551355081,21,25,20,22
1,0.050000000000000003,0.10000000000000001,1,31,-0.012613682201358278,22,25,20,22
1,0.050000000000000003,0.10000000000000001,1,32,-0.029636673048963447,25,23,22,24
1,0.050000000000000003,0.10000000000000001,1,33,-0.00062053196926536991,21,22,20,21
1,0.050000000000000003,0.10000000000000001,1,34,-0.0032646737399133485,21,21,25,21
1,0.050000000000000003,0.10000000000000001,1,35,-0.016071507907520211,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,36,-0.035014412571463316,25,19,24,22
1,0.050000000000000003,0.10000000000000001,1,37,-0.0079515985592444327,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,38,-0.0073721525707111102,20,20,25,20
1,0.050000000000000003,0.10000000000000001,1,39,-0.011311943384827883,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,40,-0.013711472403425295,22,25,25,25
1,0.050000000000000003,0.10000000000000001,1,41,-0.018743917045423553,25,23,25,25
1,0.050000000000000003,0.10000000000000001,1,42,-0.016733360887598803,20,23,25,21
1,0.050000000000000003,0.10000000000000001,1,43,-0.012311918279021894,25,25,21,25
1,0.050000000000000003,0.10000000000000001,1,44,-0.011362908046248288,20,25,21,21
1,0.050000000000000003,0.10000000000000001,1,45,-0.014651864824884564,25,21,23,22
1,0.050000000000000003,0.10000000000000001,1,46,-0.0096028792248759043,25,22,21,22
1,0.050000000000000003,0.10000000000000001,1,47,-0.018702245122191208,22,25,25,25
1,0.050000000000000003,0.10000000000000001,1,48,-0.0074197277863252697,25,21,21,22
1,0.050000000000000003,0.10000000000000001,1,49,-0.017107310580440904,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,50,-0.01976907793820315,25,22,25,25
1,0.050000000000000003,0.10000000000000001,1,51,-0.026361903146697507,21,24,19,21
1,0.050000000000000003,0.10000000000000001,1,52,-0.020041197096650754,25,21,20,21
1,0.050000000000000003,0.10000000000000001,1,53,-0.035192535328242514,25,21,25,25
1,0.050000000000000003,0.10000000000000001,1,54,-0.0079907730873005622,25,22,21,22
1,0.050000000000000003,0.10000000000000001,1,55,-0.0077345189232875811,21,25,21,22
1,0.050000000000000003,0.10000000000000001,1,56,-0.0094200891367710593,23,25,25,25
1,0.050000000000000003,0.10000000000000001,1,57,-0.0065141952160279182,25,21,22,22
1,0.050000000000000003,0.10000000000000001,1,58,-0.0032836579350630224,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,59,-0.0067417120320549806,25,25,22,23
1,0.050000000000000003,0.10000000000000001,1,60,-0.018670932825139985,21,21,25,21
1,0.050000000000000003,0.10000000000000001,1,61,-0.012872365116919804,25,25,22,25
1,0.050000000000000003,0.10000000000000001,1,62,-0.0095911530229428887,22,24,25,23
1,0.050000000000000003,0.10000000000000001,1,63,-0.0071451285182293489,24,25,25,25
1,0.050000000000000003,0.10000000000000001,1,64,-0.01341919033832295,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,65,-0.019743488253344266,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,66,-0.024798810463820153,25,25,24,25
1,0.050000000000000003,0.10000000000000001,1,67,-0.014088868452357017,21,25,20,25
1,0.050000000000000003,0.10000000000000001,1,68,-0.016232801081125903,24,25,22,23
1,0.050000000000000003,0.10000000000000001,1,69,-0.010664221988714528,22,25,25,25
1,0.050000000000000003,0.10000000000000001,1,70,-0.015062360336018932,25,25,21,25
1,0.050000000000000003,0.10000000000000001,1,71,-0.011000839616282176,23,25,25,25
1,0.050000000000000003,0.10000000000000001,1,72,-0.010611099262356261,22,25,25,25
1,0.050000000000000003,0.10000000000000001,1,73,-0.0085724944322180807,21,22,25,25
1,0.050000000000000003,0.10000000000000001,1,74,-0.0083286158765685236,21,22,21,22
1,0.050000000000000003,0.10000000000000001,1,75,-0.013730088648744365,20,22,21,21
1,0.050000000000000003,0.10000000000000001,1,76,-0.017345908029814394,20,21,21,21
1,0.050000000000000003,0.10000000000000001,1,77,-0.023024331658392239,21,23,25,22
1,0.050000000000000003,0.10000000000000001,1,78,-0.019553712360853348,25,25,22,25
1,0.050000000000000003,0.10000000000000001,1,79,-0.012405432628322943,21,20,25,22
1,0.050000000000000003,0.10000000000000001,1,80,-0.020254917506975501,23,25,25,25
1,0.050000000000000003,0.10000000000000001,1,81,-0.014946520648698725,20,25,22,21
1,0.050000000000000003,0.10000000000000001,1,82,-0.014718155884644535,23,23,24,24
1,0.050000000000000003,0.10000000000000001,1,83,-0.0045734383753681662,21,22,25,25
1,0.050000000000000003,0.10000000000000001,1,84,-0.0072388541038967968,25,22,25,25
1,0.050000000000000003,0.10000000000000001,1,85,-0.011628962370045626,25,25,20,22
1,0.050000000000000003,0.10000000000000001,1,86,-0.0036760170589233976,23,22,23,23
1,0.050000000000000003,0.10000000000000001,1,87,0.010032605064628664,20,20,22,21
1,0.050000000000000003,0.10000000000000001,1,88,-0.034840260320990746,21,25,21,22
1,0.050000000000000003,0.10000000000000001,1,89,-0.018755264528427906,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,90,-0.0099071841201414657,25,23,23,25
1,0.050000000000000003,0.10000000000000001,1,91,-0.019047485628252758,25,25,25,25
1,0.050000000000000003,0.10000000000000001,1,92,-0.023293930444952426,25,21,25,25
1,0.050000000000000003,0.10000000000000001,1,93,-0.012628817807218251,25,22,25,25
1,0.050000000000000003,0.10000000000000001,1,94,-0.0097915368321437324,24,25,25,25
1,0.050000000000000003,0.10000000000000001,1,95,-0.023901999878622515,23,19,21,20
1,0.050000000000000003,0.10000000000000001,1,96,-0.0082884694238547496,25,21,25,25
1,0.050000000000000003,0.10000000000000001,1,97,-0.022102942497032041,22,20,25,22
1,0.050000000000000003,0.10000000000000001,1,98,-0.0050337731385738937,23,22,25,25
1,0.050000000000000003,0.10000000000000001,1,99,-0.0064728867824201952,23,20,21,21
1,0.050000000000000003,0.10000000000000001,1,100,-0.022177444653885159,25,21,25,23
1,0.050000000000000003,0.10000000000000001,4,1,-0.0095398226008254206,22,25,25,24
1,0.050000000000000003,0.10000000000000001,4,2,-0.01127294149184821,25,25,25,25
1,0.050000000000000003,0.10000000000000001,4,3,-0.017858002621377267,25,22,25,25
1,0.050000000000000003,0.10000000000000001,4,4,-0.0044844327335071821,25,25,23,25
1,0.050000000000000003,0.10000000000000001,4,5,-0.0088948761850315972,22,22,25,25
1,0.050000000000000003,0.10000000000000001,4,6,-0.0056712312099953532,25,25,25,25
1,0.050000000000000003,0.10000000000000001,4,7,-0.0060564983624440405,22,21,24,22
1,0.050000000000000003,0.10000000000000001,4,8,-0.019567595098038737,22,25,25,25
1,0.050000000000000003,0.10000000000000001,4,9,-0.012725420961438028,25,25,25,25
1,0.050000000000000003,0.10000000000000001,4,10,-0.0060462112766006548,25,25,25,25
1,0.050000000000000003,0.10000000000000001,4,11,-0.010886564537517351,25,25,25,25
1,0.050000000000000003,0.10000000000000001,4,12,-0.011194699262751406,25,23,25,25
1,0.050000000000000003,0.10000000000000001,4,13,-0.017433578168241093,25,23,25,25
1,0.050000000000000003,0.10000000000000001,4,14,-0.0058886414657521868,23,25,25,24
1,0.050000000000000003,0.10000000000000001,4,15,-0.0065332878349482204,25,25,25,25
1,0.050000000000000003,0.10000000000000001,4,16,-0.012873250888890908,25,25,25,25
1,0.050000000000000003,0.10000000000000001,4,17,-0.0086323384767936773,25,22,25,25
1,0.050000000000000003,0.10000000000000001,4,18,-0.011016766392130339,25,25,23,25
1,0.050000000000000003,0.10000000000000001,4,19,-0.009070821264200557,23,25,25,25
1,0.050000000000000003,0.10000000000000001,4,20,-0.0093054247611237262,25,23,25,25
1,0.050000000000000003,0.10000000000000001,4,21,-0.0091601405180139484,25,25,22,25
1,0.050000000000000003,0.10000000000000001,4,22,-0.0085570330276463213,25,25,23,25
1,0.050000000000000003,0.10000000000000001,4,23,-0.0088632410883624502,25,25,22,25
1,0.050000000000000003,0.10000000000000001,4,24,-0.010677030390701558,22,23,25,23
1,0.050000000000000003,0.10000000000000001,4,25,-0.01151245873567297,25,21,25,22
1,0.050000000000000003,0.10000000000000001,4,26,-0.013854741305146634,25,24,25,25
1,0.050000000000000003,0.10000000000000001,4,27,-0.0060389844019264061,21,21,22,21
1,0.050000000000000003,0.10000000000000001,4,28,-0.0092612679089614236,21,25,25,25
1,0.050000000000000003,0.10000000000000001,4,29,-0.011718286203702188,23,21,22,22
1,0.050000000000000003,0.10000000000000001,4,30,-0.0063679246930932187,21,23,21,21
1,0.050000000000000003,0.10000000000000001,4,31,-0.012405228231740173,22,22,22,22
1,0.050000000000000003,0.10000000000000001,4,32,-0.019806584955481377,24,22,23,23
1,0.050000000000000003,0.10000000000000001,4,33,-0.0065571845135365958,21,25,25,23
1,0.050000000000000003,0.10000000000000001,4,34,-0.0055954209098858509,22,22,23,22
1,0.050000000000000003,0.10000000000000001,4,35,-0.013559404116903151,21,23,23,22
1,0.050000000000000003,0.10000000000000001,4,36,-0.016723182501322098,25,22,25,25
1,0.050000000000000003,0.10000000000000001,4,37,-0.014108157449482794,25,25,25,25
